timestamp,hour,voltage,current,power,temperature,humidity
2026-07-20 14:22:15,14,0.00,0.000,0.00,30.4,71.8
2026-07-20 14:22:16,14,0.00,0.000,0.00,30.4,71.8
2026-07-20 14:22:18,14,0.00,0.000,0.00,30.6,71.9
2026-07-20 14:22:19,14,0.00,0.000,0.00,30.6,71.9
2026-07-20 14:22:20,14,0.00,0.000,0.00,30.6,71.9
2026-07-20 14:22:21,14,37.39,0.000,0.00,30.6,71.9
2026-07-20 14:22:22,14,113.33,0.000,0.00,30.6,71.9
2026-07-20 14:22:23,14,113.34,0.000,0.00,30.6,71.9
2026-07-20 14:22:25,14,113.89,0.000,0.00,30.6,71.8
2026-07-20 14:22:26,14,114.17,0.000,0.00,30.6,71.8
2026-07-20 14:22:27,14,113.93,0.000,0.00,30.6,71.8
2026-07-20 14:22:28,14,114.19,0.000,0.00,30.6,71.8
2026-07-20 14:22:29,14,114.28,0.000,0.00,30.6,71.8
2026-07-20 14:22:30,14,114.13,0.000,0.00,30.6,71.8
2026-07-20 14:22:32,14,113.87,0.000,0.00,30.6,71.8
2026-07-20 14:22:33,14,113.73,0.000,0.00,30.6,71.8
2026-07-20 14:22:34,14,114.08,0.000,0.00,30.6,71.8
2026-07-20 14:22:35,14,113.47,0.000,0.00,30.6,71.8
2026-07-20 14:22:36,14,113.54,0.000,0.00,30.6,71.8
2026-07-20 14:22:37,14,113.87,0.000,0.00,30.6,71.8
2026-07-20 14:22:39,14,113.57,0.000,0.00,30.6,71.8
2026-07-20 14:22:40,14,113.58,0.000,0.00,30.6,71.8
2026-07-20 14:22:41,14,113.27,0.000,0.00,30.6,71.8
2026-07-20 14:22:42,14,113.03,0.000,0.00,30.6,71.8
2026-07-20 14:22:43,14,113.27,0.000,0.00,30.6,71.8
2026-07-20 14:22:44,14,112.83,0.000,0.00,30.6,71.8
2026-07-20 14:22:46,14,113.73,0.000,0.00,30.6,71.8
2026-07-20 14:22:47,14,114.71,0.000,0.00,30.6,71.8
2026-07-20 14:22:48,14,114.11,0.000,0.00,30.6,71.8
2026-07-20 14:22:49,14,114.26,0.000,0.00,30.6,71.9
2026-07-20 14:22:50,14,113.81,0.000,0.00,30.6,71.9
2026-07-20 14:22:51,14,113.72,0.000,0.00,30.6,71.9
2026-07-20 14:22:52,14,113.21,0.000,0.00,30.6,71.9
2026-07-20 14:22:54,14,116.86,0.878,102.65,30.6,71.9
2026-07-20 14:22:55,14,120.47,0.849,102.24,30.6,71.9
2026-07-20 14:22:56,14,120.01,0.840,100.82,30.6,71.9
2026-07-20 14:22:57,14,118.56,0.854,101.24,30.6,71.9
2026-07-20 14:22:58,14,118.80,0.853,101.28,30.6,71.9
2026-07-20 14:22:59,14,118.41,0.857,101.46,30.6,72.0
2026-07-20 14:23:00,14,118.83,0.853,101.40,30.6,72.0
2026-07-20 14:23:02,14,116.97,0.839,98.15,30.6,72.0
2026-07-20 14:23:03,14,117.26,0.830,97.38,30.6,71.9
2026-07-20 14:23:04,14,118.64,0.856,101.56,30.6,71.9
2026-07-20 14:23:05,14,119.64,0.856,102.45,30.6,71.9
2026-07-20 14:23:06,14,119.56,0.857,102.46,30.6,71.8
2026-07-20 14:23:07,14,119.13,0.855,101.88,30.6,71.8
2026-07-20 14:23:08,14,119.51,0.841,100.52,30.6,71.8
2026-07-20 14:23:10,14,119.04,0.834,99.33,30.6,71.9
2026-07-20 14:23:11,14,118.66,0.853,101.18,30.6,71.9
2026-07-20 14:23:12,14,118.33,0.852,100.87,30.6,71.9
2026-07-20 14:23:13,14,119.18,0.858,102.24,30.6,71.8
2026-07-20 14:23:14,14,118.90,0.852,101.31,30.6,71.8
2026-07-20 14:23:15,14,119.28,0.841,100.37,30.6,71.8
2026-07-20 14:23:17,14,119.17,0.837,99.69,30.6,71.9
2026-07-20 14:23:18,14,119.48,0.857,102.41,30.6,71.9
2026-07-20 14:23:19,14,119.10,0.852,101.53,30.6,71.9
2026-07-20 14:23:20,14,119.16,0.852,101.47,30.6,71.9
2026-07-20 14:23:21,14,119.37,0.857,102.29,30.6,71.9
2026-07-20 14:23:22,14,119.08,0.842,100.21,30.6,71.9
2026-07-20 14:23:24,14,119.58,0.830,99.21,30.7,71.9
2026-07-20 14:23:25,14,119.18,0.854,101.83,30.7,71.9
2026-07-20 14:23:26,14,118.51,0.849,100.59,30.7,71.9
2026-07-20 14:23:27,14,119.96,0.853,102.26,30.7,71.9
2026-07-20 14:23:28,14,119.32,0.852,101.68,30.7,71.9
2026-07-20 14:23:29,14,119.60,0.840,100.47,30.7,71.9
2026-07-20 14:23:31,14,119.39,0.834,99.60,30.7,72.0
2026-07-20 14:23:32,14,119.14,0.847,100.95,30.7,72.0
2026-07-20 14:23:33,14,119.26,0.848,101.12,30.7,72.0
2026-07-20 14:23:34,14,119.26,0.844,100.61,30.6,72.0
2026-07-20 14:23:35,14,119.52,0.849,101.43,30.6,72.0
2026-07-20 14:23:36,14,119.70,0.840,100.52,30.6,72.0
2026-07-20 14:23:38,14,120.66,0.837,100.96,30.6,72.0
2026-07-20 14:23:39,14,120.53,0.855,103.10,30.6,72.0
2026-07-20 14:23:40,14,120.17,0.854,102.66,30.6,72.0
2026-07-20 14:23:41,14,120.12,0.850,102.12,30.7,71.9
2026-07-20 14:23:42,14,119.57,0.850,101.61,30.7,71.9
2026-07-20 14:23:43,14,120.48,0.843,101.56,30.7,71.9
2026-07-20 14:23:44,14,121.45,0.839,101.86,30.7,71.9
2026-07-20 14:23:46,14,120.64,0.850,102.59,30.7,71.9
2026-07-20 14:23:47,14,120.53,0.857,103.24,30.7,71.9
2026-07-20 14:23:48,14,120.47,0.852,102.69,30.7,72.0
2026-07-20 14:23:49,14,120.17,0.848,101.85,30.7,72.0
2026-07-20 14:23:50,14,120.05,0.839,100.74,30.7,72.0
2026-07-20 14:23:51,14,118.71,0.829,98.46,30.7,71.9
2026-07-20 14:23:53,14,119.88,0.844,101.16,30.7,71.9
2026-07-20 14:23:54,14,119.97,0.847,101.64,30.7,71.9
2026-07-20 14:23:55,14,119.99,0.844,101.24,30.7,72.0
2026-07-20 14:23:56,14,119.68,0.847,101.41,30.7,72.0
2026-07-20 14:23:57,14,119.36,0.833,99.44,30.7,72.0
2026-07-20 14:23:58,14,118.74,0.833,98.87,30.7,71.9
2026-07-20 14:23:59,14,119.33,0.851,101.57,30.7,71.9
2026-07-20 14:24:01,14,119.32,0.843,100.58,30.7,71.9
2026-07-20 14:24:02,14,119.27,0.845,100.75,30.7,72.0
2026-07-20 14:24:03,14,119.06,0.843,100.35,30.7,72.0
2026-07-20 14:24:04,14,119.55,0.835,99.86,30.7,72.0
2026-07-20 14:24:05,14,119.70,0.831,99.49,30.7,72.0
2026-07-20 14:24:06,14,119.76,0.833,99.79,30.7,72.0
2026-07-20 14:24:07,14,119.45,0.836,99.82,30.7,72.0
2026-07-20 14:24:09,14,119.58,0.844,100.89,30.7,72.0
2026-07-20 14:24:10,14,118.95,0.844,100.38,30.7,72.0
2026-07-20 14:24:11,14,119.74,0.820,98.22,30.7,72.0
2026-07-20 14:24:12,14,120.31,0.823,99.04,30.7,72.0
