timestamp,hour,voltage,current,power,temperature,humidity
2026-07-20 21:26:52,21,0.00,0.000,0.00,27.3,77.8
2026-07-20 21:26:54,21,0.00,0.000,0.00,27.3,77.8
2026-07-20 21:26:55,21,0.00,0.000,0.00,27.3,77.8
2026-07-20 21:26:56,21,0.00,0.000,0.00,27.3,77.8
2026-07-20 21:26:57,21,86.02,0.000,0.00,27.3,77.8
2026-07-20 21:26:58,21,122.24,0.000,0.00,27.3,77.8
2026-07-20 21:26:59,21,121.97,0.000,0.00,27.3,77.8
2026-07-20 21:27:00,21,121.79,0.000,0.00,27.3,77.8
2026-07-20 21:27:02,21,121.83,0.000,0.00,27.3,77.7
2026-07-20 21:27:03,21,122.20,0.000,0.00,27.3,77.7
2026-07-20 21:27:04,21,122.68,0.000,0.00,27.3,77.7
2026-07-20 21:27:05,21,122.34,0.000,0.00,27.3,77.8
2026-07-20 21:27:06,21,122.23,0.000,0.00,27.3,77.8
2026-07-20 21:27:07,21,122.16,0.000,0.00,27.3,77.8
2026-07-20 21:27:09,21,122.25,0.000,0.00,27.3,77.7
2026-07-20 21:27:10,21,122.14,0.000,0.00,27.3,77.7
2026-07-20 21:27:11,21,122.06,0.000,0.00,27.3,77.7
2026-07-20 21:27:12,21,121.99,0.000,0.00,27.3,77.8
2026-07-20 21:27:13,21,122.26,0.000,0.00,27.3,77.8
2026-07-20 21:27:14,21,121.89,0.000,0.00,27.3,77.8
2026-07-20 21:27:16,21,122.03,0.000,0.00,27.3,77.7
2026-07-20 21:27:17,21,122.22,0.000,0.00,27.3,77.7
2026-07-20 21:27:18,21,122.06,0.000,0.00,27.3,77.7
2026-07-20 21:27:19,21,122.74,0.000,0.00,27.3,77.8
2026-07-20 21:27:20,21,121.86,0.000,0.00,27.3,77.8
