timestamp,hour,voltage,current,power,temperature,humidity
2026-07-20 20:53:55,20,0.00,0.000,0.00,27.4,79.2
2026-07-20 20:53:57,20,0.00,0.000,0.00,27.4,79.2
2026-07-20 20:53:58,20,0.00,0.000,0.00,27.0,79.3
2026-07-20 20:53:59,20,0.00,0.000,0.00,27.0,79.3
2026-07-20 20:54:00,20,0.00,0.000,0.00,27.0,79.3
2026-07-20 20:54:01,20,0.00,0.000,0.00,27.0,79.3
2026-07-20 20:54:02,20,0.00,0.000,0.00,27.0,79.3
2026-07-20 20:54:03,20,3.85,0.000,0.00,27.0,79.3
2026-07-20 20:54:05,20,6.72,0.642,4.31,27.0,79.3
2026-07-20 20:54:06,20,6.29,0.639,4.02,27.0,79.3
2026-07-20 20:54:07,20,5.86,0.639,3.75,27.0,79.3
2026-07-20 20:54:08,20,6.39,0.640,4.09,27.0,79.2
2026-07-20 20:54:09,20,5.82,0.636,3.70,27.0,79.2
2026-07-20 20:54:10,20,6.31,0.637,4.02,27.0,79.2
2026-07-20 20:54:12,20,6.32,0.635,4.02,27.0,79.2
2026-07-20 20:54:13,20,5.85,0.636,3.72,27.0,79.2
2026-07-20 20:54:14,20,6.52,0.637,4.16,27.0,79.2
2026-07-20 20:54:15,20,6.26,0.636,3.99,27.0,79.2
2026-07-20 20:54:16,20,6.98,0.648,4.52,27.0,79.2
2026-07-20 20:54:17,20,6.49,0.636,4.13,27.0,79.2
2026-07-20 20:54:19,20,6.52,0.636,4.15,27.0,79.3
2026-07-20 20:54:20,20,6.25,0.637,3.98,27.0,79.3
2026-07-20 20:54:21,20,6.38,0.639,4.07,27.0,79.3
2026-07-20 20:54:22,20,6.17,0.638,3.93,27.0,79.3
2026-07-20 20:54:23,20,6.37,0.635,4.05,27.0,79.3
2026-07-20 20:54:24,20,6.15,0.637,3.92,27.0,79.3
2026-07-20 20:54:25,20,6.32,0.637,4.03,27.0,79.3
2026-07-20 20:54:27,20,6.07,0.637,3.87,27.0,79.3
2026-07-20 20:54:28,20,6.24,0.638,3.98,27.0,79.3
2026-07-20 20:54:29,20,6.69,0.638,4.26,27.0,79.3
2026-07-20 20:54:30,20,6.09,0.633,3.86,27.0,79.3
